municipios_id_municipio,municipios_descripcion_municipio,municipios_descripcion_municipio_texto_libre
657,Mallabia,
658,Mañaria,
659,Markina-Xemein,
660,Maruri-Jatabe,
661,Mendata,
662,Mendexa,
663,Meñaka,
664,Morga,
665,Mundaka,
666,Mungia,
667,Munitibar-Arbatzegi Gerrikaitz,
668,Murueta,
669,Muskiz,
670,Muxika,
671,Nabarniz,
672,Ondarroa,
673,Orozko,
674,Ortuella,
675,Otxandio,
676,Plentzia,
677,Portugalete,
678,Santurtzi,
679,Sestao,
680,Sondika,
681,Sopelana,
682,Sopuerta,
683,Sukarrieta,
684,Trucios-Turtzioz,
685,Ubide,
686,Ugao-Miraballes,
687,Urduliz,
688,Urduña/Orduña,
689,Valle de Trápaga-Trapagaran,
690,Zaldibar,
691,Zalla,
692,Zamudio,
693,Zaratamo,
694,Zeanuri,
695,Zeberio,
696,Zierbena,
697,Ziortza-Bolibar,
